RUN_ID,YEAR,MONTH,DATA_SOURCE_ID,PORTROUTE,REGION,ARRIVEDEPART,UNSAMP_TOTAL
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,141,3,1,0
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,4,1,4944
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,3,1,6311
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,3,1,121
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,3,1,2928
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,4,1,3815
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,4,1,0
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,695
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,0
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,249
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,1031
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,41
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,62
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,1885
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,1175
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,481
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,59
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,336
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,9,1,619
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,80
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,1000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,226
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,379
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,1,1,2228
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,8,1,141
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,10,1,0
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,10,1,3353
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,2,1,3829
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,7,1,0
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,7,1,3146
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,3,1,173
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,151,6,1,13384
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,4,1,2542
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,3,1,293
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,4,1,2645
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,349
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,3485
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,272
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,282
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,409
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,883
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,275
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,2278
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,136
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,0
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,1362
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,1622
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,453
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,1321
